Order_ID,Order_Date,Product,Category,Region,Quantity,Sales,Profit
1001,2026-01-05,Laptop,Electronics,North,2,120000,18000
1002,2026-01-08,Mobile,Electronics,West,3,75000,9000
1003,2026-01-12,Headphones,Electronics,North,5,10000,2500
1004,2026-01-15,Office Chair,Furniture,South,2,18000,4000
1005,2026-01-20,Table,Furniture,East,1,12000,3000
1006,2026-02-03,Laptop,Electronics,West,1,60000,9000
1007,2026-02-07,Mobile,Electronics,North,2,50000,6000
1008,2026-02-11,Office Chair,Furniture,East,3,27000,6000
1009,2026-02-18,Table,Furniture,South,2,24000,5000
1010,2026-02-25,Headphones,Electronics,West,4,8000,2000
1011,2026-03-02,Laptop,Electronics,East,2,120000,18000
1012,2026-03-08,Mobile,Electronics,South,3,75000,9000
1013,2026-03-15,Table,Furniture,North,1,12000,3000
1014,2026-03-20,Office Chair,Furniture,West,2,18000,4000
1015,2026-03-28,Headphones,Electronics,South,6,12000,3000
